subject,trialtype,block,ignore,trial,pressed,FT,medianfixdist,meanfixdist,maxfixdist,eccentricity,naignore,contrast
201,1,1,2,1,1,10.7180135999988,0.144059584140058,0.202379951624407,0.81772404648156,4,270,2
201,1,1,2,2,1,12.2936429000001,0.0887331381235615,0.105669982340258,0.54047288410136,4,270,2
201,1,1,2,3,1,12.5989197999988,0.116939973132012,0.131051297946145,0.440755710542497,4,270,2
201,1,1,2,4,1,14.4192187000008,0.163850518079262,0.171506514314853,0.449959551090009,4,270,2
201,1,1,2,5,1,11.8699403000028,0.0722359976909519,0.0837959268088304,0.334143676321972,4,270,2
201,1,1,2,6,1,7.07272229999944,0,0.100078351741586,0.508216267386617,4,270,2
201,2,1,2,7,1,5.30699879999884,0,0.0984532307586898,0.530921076003262,4,270,2
201,1,1,2,8,1,7.0103726999987,0,0.0533026242952574,0.324447809313177,4,270,2
201,1,1,2,9,1,6.45520860000033,0,0.0811077095473337,0.402393915757956,4,270,2
201,1,1,2,10,1,5.20666720000008,0,0.0426956247464021,0.356791623608555,4,270,2
201,1,1,2,11,1,6.94200759999876,0,0.110488805939688,0.541062675554459,4,270,2
201,1,1,2,12,1,8.54189760000008,0,0.118428035951328,0.832432538361627,4,270,2
201,1,1,2,13,1,8.72301030000017,0,0.0820879343886741,0.317502649297648,4,270,2
201,1,1,2,14,1,9.26301510000121,0.00577268328026424,0.356158322602563,1.23601114862952,4,270,2
201,1,1,2,15,1,9.37655260000247,0.0953632415082718,0.134601889699078,0.559842436761888,4,270,2
201,1,1,2,16,1,4.60756430000038,0,0.0441839987656878,0.405979062649364,4,270,2
201,1,1,2,17,1,6.78929400000197,0,0.0734097516886705,0.398066134418986,4,270,2
201,1,1,2,18,1,4.34017820000008,0,0.10525949759874,0.669445529982538,4,270,2
201,1,1,2,19,1,6.32078850000107,0,0.103978171503097,0.511944669202643,4,270,2
201,2,1,2,20,1,4.89595629999894,0,0.0646878213406157,0.341416500043865,4,270,2
201,1,1,2,21,1,3.80689290000009,0,0.0564819274318507,0.548125813155298,4,270,2
201,1,1,2,22,1,4.48654399999941,0,0.0474834072081429,0.306921540010265,4,270,2
201,1,1,2,23,1,5.07200209999792,0,0.0757747996262115,0.390678469067583,4,270,2
201,1,1,2,24,1,6.45788860000175,0,0.117892486818829,0.591555220400084,4,270,2
201,1,1,2,25,1,7.77076079999824,0,0.186508360207969,1.09714599920476,4,270,2
201,1,1,2,26,1,12.6236112000006,0.298417636240255,0.291455289403625,1.06150215015992,4,270,2
201,3,1,2,27,1,6.67678330000126,0,0.104989272141285,0.517249093311623,4,270,2
201,1,1,2,28,1,5.0151388000013,0,0.0346376890460075,0.290079461689246,4,270,2
201,1,1,2,29,1,11.174528399999,0.191530340996576,0.18678458803352,0.717733133810328,4,270,2
201,1,1,2,30,1,7.40442249999978,0,0.0792311754282527,0.502696811336348,4,270,2
201,1,1,2,31,1,6.74556650000159,0,0.0940896638481371,0.525996500946034,4,270,2
201,3,1,2,32,1,9.72623340000064,0.252350668308703,0.312410847662698,0.9288378802532,4,270,2
201,3,1,2,33,1,4.7616334000013,0,0.0724861780625172,0.589478955052118,4,270,2
201,1,1,2,34,1,7.82445539999753,0,0.128574835545968,0.557854852762332,4,270,2
201,1,1,2,35,1,10.1194316999972,0.0821197091905464,0.104881302821662,0.410479572190484,4,270,2
201,2,1,2,36,1,6.73077299999932,0,0.164926507870879,0.683777752729829,4,270,2
201,1,1,2,37,1,5.8632897000025,0,0.296514716134588,1.04440719535974,4,270,2
201,1,1,2,38,1,5.12347440000303,0,0.175134476357625,0.771248285930795,4,270,2
201,1,1,2,39,1,5.92444679999971,0,0.0694395099260438,0.383432007703221,4,270,2
201,1,1,2,40,1,6.47439129999839,0,0.145630085781411,0.689038797117311,4,270,2
201,1,1,2,41,1,6.04457040000125,0,0.053855858167258,0.74984561550389,4,270,2
201,2,1,2,42,1,6.85893779999969,0,0.133970641890607,1.02864550063662,4,270,2
201,1,1,2,43,1,6.40677710000091,0,0.111060984785093,0.604342279932213,4,270,2
201,2,1,2,44,1,5.31488220000028,0,0.0417889023721444,0.36754800816927,4,270,2
201,1,1,2,45,1,5.82372390000091,0,0.0924890308096063,0.540752524396961,4,270,2
201,3,1,2,46,1,9.67922080000062,0.0483413165624414,0.103696961461966,0.395054242643172,4,270,2
201,1,1,2,47,1,8.10592819999874,0,0.0727418282861166,0.589044637617175,4,270,2
201,1,1,2,48,1,9.34353370000099,0.0599352749754387,0.139020619172626,0.486166727180961,4,270,2
201,1,1,2,49,1,7.04849970000214,0,0.281934125671742,1.07915620420371,4,270,2
201,3,1,2,50,1,9.56218570000055,0.049346073512321,0.12061850614159,0.836032758542984,4,270,2
201,1,2,1,1,1,6.4728987999988,0,0.0900400334719028,0.442820577537391,6,270,1
201,3,2,1,2,1,6.02584990000105,0,0.147092071302197,0.601563860058059,6,270,1
201,1,2,1,3,1,6.74193549999836,0,0.0786678767650918,0.363098554787533,6,270,1
201,1,2,1,4,1,4.79296559999784,0,0.124632058855081,0.596471386623024,6,270,1
201,1,2,1,5,1,6.17378839999947,0,0.161414377634779,0.688999337054244,6,270,1
201,1,2,1,6,1,6.8624321999996,0,0.197965184086664,0.785013466933287,6,270,1
201,2,2,1,7,1,5.91120020000017,0,0.0530567685086225,0.416217184529223,6,270,1
201,3,2,1,8,1,6.44531490000008,0,0.157322693054333,0.680969064484125,6,270,1
201,1,2,1,9,1,6.02611219999744,0,0.160985027783517,0.699709305729983,6,270,1
201,2,2,1,10,1,4.53220239999791,0,0.0916112147373059,0.662542242106762,6,270,1
201,1,2,1,11,1,4.51487009999983,0,0.146062742868083,0.702635041958263,6,270,1
201,1,2,1,12,1,6.04248979999829,0,0.172451606868132,0.706656390605523,6,270,1
201,1,2,1,13,1,4.21024549999856,0,0.11476648406215,0.690137895471533,6,270,1
201,1,2,1,14,1,4.94165319999956,0,0.132275245829859,0.654265710253112,6,270,1
201,2,2,1,15,1,5.07349400000021,0,0.193261529849239,0.836501123075854,6,270,1
201,1,2,1,16,1,4.95835439999792,0,0.155356122942761,8.90757400564557,6,270,1
201,1,2,1,17,1,7.03093749999971,0,0.20541723380303,0.784184358856419,6,270,1
201,1,2,1,18,1,5.77687259999948,0,0.164488014208352,0.676403187694537,6,270,1
201,1,2,1,19,1,7.24160649999976,0,0.195981507014528,0.765327603003207,6,270,1
201,1,2,1,20,1,6.07312550000279,0,0.199762111953229,0.754249784210282,6,270,1
201,1,2,1,21,1,4.16575020000164,0,0.172490920111702,0.880271120454382,6,270,1
201,1,2,1,22,1,6.66112650000287,0,0.170919259740122,0.684421127108358,6,270,1
