subject,RT,retinalslip,contrast,eccentricity
1,4.879,0.808336557050578,1,2
1,5.212,0.728429120317141,1,2
1,5.85,0.737993608028554,1,2
1,6.53,0.770797897242093,1,2
1,6.092,0.71807230817993,1,2
1,5.064,0.862914243846993,1,2
1,3.56,0.762261373298695,1,2
1,5.881,0.768781071430972,1,2
1,5.807,0.71807230817993,1,2
1,5.162,0.728649478022188,1,2
1,6.043,0.832793919545954,1,2
1,3.258,0.988116595016827,1,2
1,4.757,0.78180653671661,1,2
1,4.365,0.846363142395699,1,2
1,3.726,0.957429744239907,1,2
1,2.962,0.736484418646082,1,2
1,3.296,0.773308639578386,1,2
1,4.746,0.804467595751874,1,2
1,4.791,0.814735888127229,1,2
1,4.661,0.836009340084742,1,2
1,3.978,0.787718117334505,1,2
1,3.583,0.832227393070073,1,2
1,5.64,0.806844983641735,1,2
1,5.492,0.827522075950945,1,2
1,3.382,0.863695363684951,1,2
1,4.162,0.951292374084523,1,2
1,8.096,0.836882530433213,1,2
1,6.175,0.811232090986282,1,2
1,4.398,0.826818835620641,1,2
1,3.864,0.81013286051069,1,2
1,4.345,0.869526765240213,1,2
1,3.064,0.751214107019004,1,2
1,3.543,0.688612931434087,1,2
1,4.98,0.892773263300629,1,2
1,6.455,0.828544970976843,1,2
1,3.375,0.853652394339777,1,2
1,4.759,0.807300228131282,1,2
1,5.758,0.937145215760248,1,2
1,5.341,0.900027282198374,1,2
2,18.254,1.15600162346331,1,2
2,19.189,1.2291184109888,1,2
2,17.371,1.07575130669855,1,2
2,19.254,1.22141773651936,1,2
2,11.51,1.09265666156427,1,2
2,8.058,1.10362558709977,1,2
2,14.772,1.07707765185228,1,2
2,15.975,0.946421176461373,1,2
2,19.422,1.31101666221983,1,2
2,18.22,1.24116060241874,1,2
2,11.805,1.1387582108779,1,2
2,17.039,1.05413657861508,1,2
2,10.778,1.26117340686448,1,2
2,14.542,0.94232411509141,1,2
2,13.104,1.67884968598393,1,2
2,9.74,1.00608863620016,1,2
2,7.239,1.17203476069874,1,2
2,12.846,1.22974872812264,1,2
2,18.424,1.18026883311616,1,2
2,6.744,1.07637443704857,1,2
2,6.944,0.959266735881747,1,2
2,18.602,1.07838907999525,1,2
2,10.303,0.982088121706257,1,2
2,17.84,1.09958823998459,1,2
2,11.368,0.978694519533535,1,2
2,11.423,1.2440659315913,1,2
2,15.523,1.03365706778489,1,2
2,9.358,0.9733555131599,1,2
2,11.973,0.994953685715164,1,2
3,9.255,1.45818573024253,1,2
3,7.959,1.43653282012402,1,2
3,8.225,1.28034604498573,1,2
3,13.272,1.33516722069087,1,2
3,8.205,1.20251002991611,1,2
3,8.293,1.29804630348509,1,2
3,11.044,1.31539788945318,1,2
3,12.527,1.20903314901142,1,2
3,8.978,1.30100876938208,1,2
3,17.409,1.18883845512049,1,2
3,14.05,1.21764072345674,1,2
