subject,RT,minnms,baselinenms,minretinalslip,baselineretinalslip,immobduration,immobmsamplitude,lastmstime,lastmsamplitude,contrast,eccentricity,mspresent,earlymspresent,latemspresent,blinkpresent,nblinks,session,trial
11,5.194,0,3,21.4,20.7560975609756,2.103,0.105124286906625,2.103,0.105124286906625,1,2,1,1,1,0,0,1,44
12,6.153,0,8,14.2666666666667,15.0227272727273,1.931,0.0507895932937831,1.931,0.0507895932937831,1,2,1,0,1,0,0,1,16
12,7.871,0,7,13.5333333333333,13.1707317073171,2.539,0.172654935438362,2.539,0.172654935438362,1,2,1,0,1,1,1,1,23
12,7.419,0,8,14.375,14.1477272727273,1.319,0.298853854031737,1.319,0.298853854031737,1,2,1,1,1,1,3,1,25
12,8.255,0,8,16.6428571428571,16.0882352941176,NaN,NaN,0.067,0.261887144516486,1,2,1,1,1,1,3,1,38
13,9.555,0,6,20.9333333333333,22.1323529411765,1.161,0.0739493643210347,1.161,0.0739493643210347,1,2,1,0,1,1,2,2,33
14,11.272,1.42857142857143,13,21.0769230769231,19.5677419354839,0.93,0.106784943893533,0.93,0.106784943893533,1,2,1,1,1,1,4,1,6
14,12.973,0,12,20.4444444444444,20.2132352941176,2.237,0.185974060639318,2.237,0.185974060639318,1,2,1,0,1,1,8,1,32
14,16.417,1.42857142857143,12,16.6153846153846,19.1524390243902,0.882,0.146487060908183,0.882,0.146487060908183,1,2,1,1,1,1,14,1,44
15,13.806,0,3,18.1333333333333,16.073275862069,9.273,0.0674043470525063,9.273,0.0674043470525063,1,2,1,0,1,1,2,3,1
15,6.327,0,2,15.1333333333333,15.2254901960784,3.529,0.0780251581381945,3.529,0.0780251581381945,1,2,1,0,1,1,1,3,15
15,10.993,0,2,16.4666666666667,15.4357541899441,3.077,0.252904369997815,3.077,0.252904369997815,1,2,1,1,1,1,2,3,16
15,6.541,0,4,15.3333333333333,14.5825242718447,1.823,0.145825352365016,1.823,0.145825352365016,1,2,1,0,1,0,0,3,19
15,6.277,0,2,16.3333333333333,15.3461538461538,5.348,0.276035325437621,5.348,0.276035325437621,1,2,1,0,1,0,0,3,33
16,5.647,0,2,26.7333333333333,26.4494382022472,1.088,0.450776289795734,1.088,0.450776289795734,1,2,1,0,1,0,0,1,5
16,2.126,0,1,27,25.3809523809524,1.38,0.0715983317861261,1.38,0.0715983317861261,1,2,1,0,1,0,0,1,9
17,3.974,0,0,13.2666666666667,13.2666666666667,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,2
17,2.722,0,0,16.9333333333333,14.6,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,4
17,6.425,0,0,12.7333333333333,13.4770642201835,NaN,NaN,0.063,0.0981148671927272,1,2,0,0,0,0,0,3,31
17,8.859,0,12,13,12.9850746268657,1.457,0.153289456583201,1.457,0.153289456583201,1,2,1,1,1,0,0,3,38
17,4.525,0,2,15.6,16.2089552238806,1.754,0.22772889520489,1.754,0.22772889520489,1,2,1,0,1,0,0,3,43
18,6.244,0,5,12.8,12.4285714285714,3.621,0.0874555776767552,3.621,0.0874555776767552,1,2,1,1,1,0,0,1,13
18,7.227,0,5,10.2,12.3826086956522,2.337,0.115274849102754,2.337,0.115274849102754,1,2,1,0,1,0,0,1,16
18,6.646,1.42857142857143,12,9.23076923076923,10.5113636363636,0.441,0.222754743785242,0.441,0.222754743785242,1,2,1,0,1,1,0,1,37
18,7.076,0,0,10.9333333333333,12.1967213114754,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,1,49
19,18.94,0,14,9,10.4984423676012,1.333,1.22280149395597,1.333,1.22280149395597,1,2,1,0,1,0,0,1,6
19,7.672,1.42857142857143,3,9.30769230769231,9.36434108527132,NaN,NaN,0.279,0.901528186511047,1,2,1,0,1,0,0,1,11
19,9.509,1.42857142857143,3,8.38461538461539,9.62804878048781,0.716,1.01728602849433,0.716,1.01728602849433,1,2,1,0,1,0,0,1,16
19,7.479,0,2,9.8,10.6666666666667,3.189,0.318210214621786,3.189,0.318210214621786,1,2,1,0,1,0,0,1,18
